Continent;Country;Series;Year;Unit;Value
America;Panama;"Wine imports";2016;"1000 hl";54
America;Panama;"Wine consumption";2016;"1000 hl";37
America;Panama;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";1.30
Oceania;"Papua New Guinea";"Wine imports";2016;"1000 hl";23
Oceania;"Papua New Guinea";"Wine consumption";2016;"1000 hl";30
Oceania;"Papua New Guinea";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.60
America;Paraguay;"Vineyard surface area";2016;ha;372
America;Paraguay;"Wine production";2016;"1000 hl";16
America;Paraguay;"Wine exports";2016;"1000 hl";0
America;Paraguay;"Wine imports";2016;"1000 hl";230
America;Paraguay;"Wine consumption";2016;"1000 hl";204
America;Paraguay;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";4.30
America;Peru;"Vineyard surface area";2016;ha;30042
America;Peru;"Wine production";2016;"1000 hl";750
America;Peru;"Wine exports";2016;"1000 hl";2
America;Peru;"Wine imports";2016;"1000 hl";85
America;Peru;"Wine consumption";2016;"1000 hl";836
America;Peru;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";3.70
Asia;Philippines;"Vineyard surface area";2016;ha;457
Asia;Philippines;"Wine exports";2016;"1000 hl";7
Asia;Philippines;"Wine imports";2016;"1000 hl";204
Asia;Philippines;"Wine consumption";2016;"1000 hl";198
Asia;Philippines;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.30
Europe;Poland;"Wine exports";2016;"1000 hl";36
Europe;Poland;"Wine imports";2016;"1000 hl";1188
Europe;Poland;"Wine consumption";2016;"1000 hl";1107
Europe;Poland;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";3.40
Europe;Portugal;"Vineyard surface area";2016;ha;195284
Europe;Portugal;"Wine production";2016;"1000 hl";6010
Europe;Portugal;"Wine exports";2016;"1000 hl";2778
Europe;Portugal;"Wine imports";2016;"1000 hl";1804
Europe;Portugal;"Wine consumption";2016;"1000 hl";4686
Europe;Portugal;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";52.70
Europe;"Republic Of North Macedonia";"Vineyard surface area";2016;ha;24931
Europe;"Republic Of North Macedonia";"Wine production";2016;"1000 hl";785
Europe;"Republic Of North Macedonia";"Wine exports";2016;"1000 hl";766
Europe;"Republic Of North Macedonia";"Wine imports";2016;"1000 hl";2
Europe;"Republic Of North Macedonia";"Wine consumption";2016;"1000 hl";150
Europe;"Republic Of North Macedonia";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";8.70
Africa;"Reunion Island";"Vineyard surface area";2016;ha;29
Africa;"Reunion Island";"Wine exports";2016;"1000 hl";0
Africa;"Reunion Island";"Wine imports";2016;"1000 hl";0
Africa;"Reunion Island";"Wine consumption";2016;"1000 hl";0
Europe;Romania;"Vineyard surface area";2016;ha;191356
Europe;Romania;"Wine production";2016;"1000 hl";3267
Europe;Romania;"Wine exports";2016;"1000 hl";129
Europe;Romania;"Wine imports";2016;"1000 hl";502
Europe;Romania;"Wine consumption";2016;"1000 hl";3818
Europe;Romania;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";22.80
Europe;"Russian Federation";"Vineyard surface area";2016;ha;87600
Europe;"Russian Federation";"Wine production";2016;"1000 hl";5173
Europe;"Russian Federation";"Wine exports";2016;"1000 hl";49
Europe;"Russian Federation";"Wine imports";2016;"1000 hl";4040
Europe;"Russian Federation";"Wine consumption";2016;"1000 hl";10086
Europe;"Russian Federation";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";8.40
Africa;Rwanda;"Wine exports";2016;"1000 hl";0
Africa;Rwanda;"Wine imports";2016;"1000 hl";10
Africa;Rwanda;"Wine consumption";2016;"1000 hl";12
Africa;Rwanda;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.20
America;"Saint Helena";"Wine imports";2016;"1000 hl";0
America;"Saint Helena";"Wine consumption";2016;"1000 hl";0
America;"Saint Kitts And Nevis";"Wine exports";2016;"1000 hl";0
America;"Saint Kitts And Nevis";"Wine imports";2016;"1000 hl";2
America;"Saint Kitts And Nevis";"Wine consumption";2016;"1000 hl";3
America;"Saint Lucia";"Wine exports";2016;"1000 hl";10
America;"Saint Lucia";"Wine imports";2016;"1000 hl";21
America;"Saint Lucia";"Wine consumption";2016;"1000 hl";6
America;"Saint Lucia";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";4.10
America;"Saint Pierre And Miquelon";"Wine imports";2016;"1000 hl";2
America;"Saint Pierre And Miquelon";"Wine consumption";2016;"1000 hl";2
America;"Saint Vincent And The Grenadines";"Wine exports";2016;"1000 hl";0
America;"Saint Vincent And The Grenadines";"Wine imports";2016;"1000 hl";3
America;"Saint Vincent And The Grenadines";"Wine consumption";2016;"1000 hl";3
America;"Saint Vincent And The Grenadines";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";3.60
Africa;"Sao Tome And Príncipe";"Wine imports";2016;"1000 hl";37
Africa;"Sao Tome And Príncipe";"Wine consumption";2016;"1000 hl";35
Africa;"Sao Tome And Príncipe";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";30.20
Asia;"Saudi Arabia";"Vineyard surface area";2016;ha;4081
Asia;"Saudi Arabia";"Wine imports";2016;"1000 hl";0
Asia;"Saudi Arabia";"Wine consumption";2016;"1000 hl";0
Africa;Senegal;"Wine exports";2016;"1000 hl";1
Africa;Senegal;"Wine imports";2016;"1000 hl";63
Africa;Senegal;"Wine consumption";2016;"1000 hl";60
Africa;Senegal;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.70
Asia;"Serbia And Montenegro";"Vineyard surface area";2016;ha;0
Asia;"Serbia And Montenegro";"Wine production";2016;"1000 hl";
Asia;"Serbia And Montenegro";"Wine exports";2016;"1000 hl";
Asia;"Serbia And Montenegro";"Wine imports";2016;"1000 hl";
Asia;"Serbia And Montenegro";"Wine consumption";2016;"1000 hl";
Europe;Serbia;"Vineyard surface area";2016;ha;22150
Europe;Serbia;"Wine production";2016;"1000 hl";648
Europe;Serbia;"Wine exports";2016;"1000 hl";100
Europe;Serbia;"Wine imports";2016;"1000 hl";208
Europe;Serbia;"Wine consumption";2016;"1000 hl";796
Europe;Serbia;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";10.70
Africa;Seychelles;"Wine exports";2016;"1000 hl";0
Africa;Seychelles;"Wine imports";2016;"1000 hl";40
Africa;Seychelles;"Wine consumption";2016;"1000 hl";29
Africa;Seychelles;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";39.70
Africa;"Sierra Leone";"Wine imports";2016;"1000 hl";2
Africa;"Sierra Leone";"Wine consumption";2016;"1000 hl";2
Africa;"Sierra Leone";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.10
Asia;Singapore;"Wine exports";2016;"1000 hl";174
Asia;Singapore;"Wine imports";2016;"1000 hl";300
Asia;Singapore;"Wine consumption";2016;"1000 hl";127
Asia;Singapore;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";2.60
Europe;Slovakia;"Vineyard surface area";2016;ha;18437
Europe;Slovakia;"Wine production";2016;"1000 hl";309
Europe;Slovakia;"Wine exports";2016;"1000 hl";221
Europe;Slovakia;"Wine imports";2016;"1000 hl";623
Europe;Slovakia;"Wine consumption";2016;"1000 hl";638
Europe;Slovakia;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";13.80
Europe;Slovenia;"Vineyard surface area";2016;ha;15604
Europe;Slovenia;"Wine production";2016;"1000 hl";497
Europe;Slovenia;"Wine exports";2016;"1000 hl";40
Europe;Slovenia;"Wine imports";2016;"1000 hl";134
Europe;Slovenia;"Wine consumption";2016;"1000 hl";811
Europe;Slovenia;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";45.90
Oceania;"Solomon Islands";"Wine imports";2016;"1000 hl";2
Oceania;"Solomon Islands";"Wine consumption";2016;"1000 hl";2
Oceania;"Solomon Islands";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.50
Africa;Somalia;"Wine imports";2016;"1000 hl";0
Africa;Somalia;"Wine consumption";2016;"1000 hl";0
Africa;"South Africa";"Vineyard surface area";2016;ha;129513
Africa;"South Africa";"Wine production";2016;"1000 hl";10531
Africa;"South Africa";"Wine exports";2016;"1000 hl";4283
Africa;"South Africa";"Wine imports";2016;"1000 hl";169
Africa;"South Africa";"Wine consumption";2016;"1000 hl";4369
Africa;"South Africa";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";11.00
Europe;Spain;"Vineyard surface area";2016;ha;975270
Europe;Spain;"Wine production";2016;"1000 hl";39670
Europe;Spain;"Wine exports";2016;"1000 hl";22626
Europe;Spain;"Wine imports";2016;"1000 hl";614
Europe;Spain;"Wine consumption";2016;"1000 hl";9850
Europe;Spain;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";24.80
Asia;"Sri Lanka";"Wine exports";2016;"1000 hl";1
Asia;"Sri Lanka";"Wine imports";2016;"1000 hl";13
Asia;"Sri Lanka";"Wine consumption";2016;"1000 hl";12
Asia;"Sri Lanka";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.10
Asia;"State Of Palestine";"Vineyard surface area";2016;ha;5601
Asia;"State Of Palestine";"Wine exports";2016;"1000 hl";1
Asia;"State Of Palestine";"Wine imports";2016;"1000 hl";0
Asia;"State Of Palestine";"Wine consumption";2016;"1000 hl";1
Asia;"State Of Palestine";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.00
Africa;Sudan;"Wine imports";2016;"1000 hl";1
Africa;Sudan;"Wine consumption";2016;"1000 hl";1
Africa;Sudan;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.00
America;Suriname;"Wine imports";2016;"1000 hl";3
America;Suriname;"Wine consumption";2016;"1000 hl";4
America;Suriname;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";1.00
Africa;Swaziland;"Wine exports";2016;"1000 hl";2
Africa;Swaziland;"Wine imports";2016;"1000 hl";0
Africa;Swaziland;"Wine consumption";2016;"1000 hl";4
Africa;Swaziland;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.60
Europe;Sweden;"Wine exports";2016;"1000 hl";75
Europe;Sweden;"Wine imports";2016;"1000 hl";2184
Europe;Sweden;"Wine consumption";2016;"1000 hl";2370
Europe;Sweden;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";29.20
Europe;Switzerland;"Vineyard surface area";2016;ha;14780
Europe;Switzerland;"Wine production";2016;"1000 hl";1077
Europe;Switzerland;"Wine exports";2016;"1000 hl";11
Europe;Switzerland;"Wine imports";2016;"1000 hl";1850
Europe;Switzerland;"Wine consumption";2016;"1000 hl";2699
Europe;Switzerland;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";37.80
Asia;"Syrian Arab Republic";"Vineyard surface area";2016;ha;45499
Asia;"Syrian Arab Republic";"Wine production";2016;"1000 hl";1
Asia;"Syrian Arab Republic";"Wine exports";2016;"1000 hl";0
Asia;"Syrian Arab Republic";"Wine imports";2016;"1000 hl";1
Asia;"Syrian Arab Republic";"Wine consumption";2016;"1000 hl";2
Asia;"Syrian Arab Republic";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.00
Asia;"Taiwan, China";"Vineyard surface area";2016;ha;3083
Asia;"Taiwan, China";"Wine exports";2016;"1000 hl";0
Asia;"Taiwan, China";"Wine imports";2016;"1000 hl";216
Asia;"Taiwan, China";"Wine consumption";2016;"1000 hl";210
Asia;"Taiwan, China";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";1.00
Asia;Tajikistan;"Vineyard surface area";2016;ha;34276
Asia;Tajikistan;"Wine production";2016;"1000 hl";2
Asia;Tajikistan;"Wine exports";2016;"1000 hl";0
Asia;Tajikistan;"Wine imports";2016;"1000 hl";2
Asia;Tajikistan;"Wine consumption";2016;"1000 hl";5
Asia;Tajikistan;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.10
Africa;"Tanzania, United Republic";"Vineyard surface area";2016;ha;1247
Africa;"Tanzania, United Republic";"Wine exports";2016;"1000 hl";1
Africa;"Tanzania, United Republic";"Wine imports";2016;"1000 hl";47
Africa;"Tanzania, United Republic";"Wine consumption";2016;"1000 hl";45
Africa;"Tanzania, United Republic";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.20
Asia;Thailand;"Vineyard surface area";2016;ha;5033
Asia;Thailand;"Wine exports";2016;"1000 hl";117
Asia;Thailand;"Wine imports";2016;"1000 hl";126
Asia;Thailand;"Wine consumption";2016;"1000 hl";24
Asia;Thailand;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.00
Oceania;Timor-leste;"Wine imports";2016;"1000 hl";1
Oceania;Timor-leste;"Wine consumption";2016;"1000 hl";1
Oceania;Timor-leste;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.10
Africa;Togo;"Wine exports";2016;"1000 hl";15
Africa;Togo;"Wine imports";2016;"1000 hl";50
Africa;Togo;"Wine consumption";2016;"1000 hl";48
Africa;Togo;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";1.10
Oceania;Tonga;"Wine imports";2016;"1000 hl";1
Oceania;Tonga;"Wine consumption";2016;"1000 hl";1
Oceania;Tonga;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";1.50
America;"Trinidad And Tobago";"Wine exports";2016;"1000 hl";0
America;"Trinidad And Tobago";"Wine imports";2016;"1000 hl";14
America;"Trinidad And Tobago";"Wine consumption";2016;"1000 hl";22
America;"Trinidad And Tobago";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";2.00
Africa;Tunisia;"Vineyard surface area";2016;ha;21702
Africa;Tunisia;"Wine production";2016;"1000 hl";305
Africa;Tunisia;"Wine exports";2016;"1000 hl";6
Africa;Tunisia;"Wine imports";2016;"1000 hl";2
Africa;Tunisia;"Wine consumption";2016;"1000 hl";307
Africa;Tunisia;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";3.60
Asia;Turkey;"Vineyard surface area";2016;ha;467869
Asia;Turkey;"Wine production";2016;"1000 hl";496
Asia;Turkey;"Wine exports";2016;"1000 hl";29
Asia;Turkey;"Wine imports";2016;"1000 hl";20
Asia;Turkey;"Wine consumption";2016;"1000 hl";513
Asia;Turkey;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.90
Asia;Turkmenistan;"Vineyard surface area";2016;ha;20976
Asia;Turkmenistan;"Wine production";2016;"1000 hl";382
Asia;Turkmenistan;"Wine exports";2016;"1000 hl";0
Asia;Turkmenistan;"Wine imports";2016;"1000 hl";2
Asia;Turkmenistan;"Wine consumption";2016;"1000 hl";385
Asia;Turkmenistan;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";9.80
Oceania;Tuvalu;"Wine imports";2016;"1000 hl";0
Oceania;Tuvalu;"Wine consumption";2016;"1000 hl";1
Africa;Uganda;"Wine exports";2016;"1000 hl";2
Africa;Uganda;"Wine imports";2016;"1000 hl";19
Africa;Uganda;"Wine consumption";2016;"1000 hl";23
Africa;Uganda;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.10
Europe;Ukraine;"Vineyard surface area";2016;ha;45100
Europe;Ukraine;"Wine production";2016;"1000 hl";1
Europe;Ukraine;"Wine exports";2016;"1000 hl";317
Europe;Ukraine;"Wine imports";2016;"1000 hl";431
Europe;Ukraine;"Wine consumption";2016;"1000 hl";1242
Europe;Ukraine;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";3.30
Europe;"United Kingdom";"Vineyard surface area";2016;ha;411
Europe;"United Kingdom";"Wine production";2016;"1000 hl";38
Europe;"United Kingdom";"Wine exports";2016;"1000 hl";784
Europe;"United Kingdom";"Wine imports";2016;"1000 hl";13555
Europe;"United Kingdom";"Wine consumption";2016;"1000 hl";12935
Europe;"United Kingdom";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";23.70
America;"United States";"Vineyard surface area";2016;ha;439214
America;"United States";"Wine production";2016;"1000 hl";24901
America;"United States";"Wine exports";2016;"1000 hl";3790
America;"United States";"Wine imports";2016;"1000 hl";11143
America;"United States";"Wine consumption";2016;"1000 hl";31284
America;"United States";"Consumption of wine per capita (+15)";2016;"l/capita (+15)";12.00
America;Uruguay;"Vineyard surface area";2016;ha;7251
America;Uruguay;"Wine production";2016;"1000 hl";755
America;Uruguay;"Wine exports";2016;"1000 hl";34
America;Uruguay;"Wine imports";2016;"1000 hl";33
America;Uruguay;"Wine consumption";2016;"1000 hl";609
America;Uruguay;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";22.50
Asia;Uzbekistan;"Vineyard surface area";2016;ha;120807
Asia;Uzbekistan;"Wine production";2016;"1000 hl";272
Asia;Uzbekistan;"Wine exports";2016;"1000 hl";106
Asia;Uzbekistan;"Wine imports";2016;"1000 hl";1
Asia;Uzbekistan;"Wine consumption";2016;"1000 hl";185
Asia;Uzbekistan;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.80
Oceania;Vanuatu;"Wine imports";2016;"1000 hl";6
Oceania;Vanuatu;"Wine consumption";2016;"1000 hl";5
Oceania;Vanuatu;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";2.90
America;Venezuela;"Vineyard surface area";2016;ha;1247
America;Venezuela;"Wine exports";2016;"1000 hl";0
America;Venezuela;"Wine imports";2016;"1000 hl";24
America;Venezuela;"Wine consumption";2016;"1000 hl";23
America;Venezuela;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.10
Asia;Vietnam;"Vineyard surface area";2016;ha;1362
Asia;Vietnam;"Wine imports";2016;"1000 hl";79
Asia;Vietnam;"Wine consumption";2016;"1000 hl";124
Asia;Vietnam;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.20
World;World;"Vineyard surface area";2016;ha;7453532
World;World;"Wine production";2016;"1000 hl";266014
World;World;"Wine exports";2016;"1000 hl";103805
World;World;"Wine imports";2016;"1000 hl";101010
World;World;"Wine consumption";2016;"1000 hl";207273
Asia;Yemen;"Vineyard surface area";2016;ha;12625
Asia;Yemen;"Wine exports";2016;"1000 hl";0
Asia;Yemen;"Wine imports";2016;"1000 hl";0
Asia;Yemen;"Wine consumption";2016;"1000 hl";0
Africa;Zambia;"Wine exports";2016;"1000 hl";0
Africa;Zambia;"Wine imports";2016;"1000 hl";47
Africa;Zambia;"Wine consumption";2016;"1000 hl";36
Africa;Zambia;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.40
Africa;Zimbabwe;"Vineyard surface area";2016;ha;436
Africa;Zimbabwe;"Wine production";2016;"1000 hl";20
Africa;Zimbabwe;"Wine exports";2016;"1000 hl";0
Africa;Zimbabwe;"Wine imports";2016;"1000 hl";17
Africa;Zimbabwe;"Wine consumption";2016;"1000 hl";41
Africa;Zimbabwe;"Consumption of wine per capita (+15)";2016;"l/capita (+15)";0.50
